run_id,num_blocks,hidden_units,num_heads,maxlen,dropout_rate,lr,train_exit_code,eval_exit_code,val_recall@10,val_recall@20,val_ndcg@10,val_ndcg@20,test_recall@10,test_recall@20,test_ndcg@10,test_ndcg@20
1,2,128,4,50,0.1,0.001,0,0,0.053364,0.086675,0.026911,0.035305,0.043917,0.077229,0.021399,0.02971
2,2,128,4,50,0.1,0.005,0,0,0.172522,0.270135,0.088289,0.11291,0.139874,0.223235,0.061472,0.082519
